fecha,promedio,maximo
"","",""
Last 30 Days,198.17,436
December 2024,190.45,436
November 2024,188.95,266
October 2024,199.34,293
September 2024,218.96,315
August 2024,219.22,344
July 2024,210.09,339
June 2024,222.34,354
May 2024,196.14,314
April 2024,224.87,328
March 2024,240.45,379
February 2024,213.67,310
January 2024,249.60,511
December 2023,243.23,540
November 2023,237.42,421
October 2023,256.35,391
September 2023,223.23,458
August 2023,213.08,531
July 2023,215.02,318
June 2023,236.07,348
May 2023,224.95,351
April 2023,269.44,391
March 2023,236.10,366
February 2023,256.66,392
January 2023,277.31,581
December 2022,339.33,617
November 2022,564.43,889
October 2022,382.14,973
September 2022,213.13,364
August 2022,216.20,365
July 2022,242.52,389
June 2022,210.06,298
May 2022,226.78,403
April 2022,238.32,433
March 2022,257.33,413
February 2022,274.80,404
January 2022,285.30,712
December 2021,255.52,629
November 2021,278.32,505
October 2021,287.65,451
September 2021,274.10,482
August 2021,314.26,436
July 2021,311.28,475
June 2021,324.77,446
May 2021,346.83,651
April 2021,330.49,632
March 2021,322.53,488
February 2021,329.70,470
January 2021,333.59,725
December 2020,348.95,707
November 2020,357.96,549
October 2020,328.83,528
September 2020,340.21,487
August 2020,390.31,531
July 2020,354.41,517
June 2020,347.57,906
May 2020,409.64,646
April 2020,504.98,821
March 2020,415.46,809
February 2020,283.57,631
January 2020,241.87,460
December 2019,236.72,417
November 2019,237.07,450
October 2019,211.20,328
September 2019,205.94,333
August 2019,222.87,745
July 2019,222.49,365
June 2019,213.45,298
May 2019,235.30,445
April 2019,206.83,344
March 2019,294.96,543
February 2019,271.31,522
January 2019,207.46,554
December 2018,228.60,384
November 2018,165.43,323
October 2018,178.01,349
September 2018,175.04,400
August 2018,174.03,380
July 2018,150.47,271
June 2018,184.87,428
May 2018,180.33,340
April 2018,196.32,464
March 2018,267.13,738
February 2018,228.23,550
January 2018,178.54,298
December 2017,213.70,489
November 2017,196.73,446
October 2017,216.92,716
September 2017,172.91,319
August 2017,172.90,414
July 2017,196.14,417
June 2017,251.51,526
May 2017,218.94,411
April 2017,181.01,323
March 2017,185.05,336
February 2017,116.89,457
January 2017,148.59,334
December 2016,267.57,493
November 2016,451.45,775
October 2016,423.60,2095
September 2016,48.45,121
August 2016,56.89,110
