Project: Gorgon,Cantidad de datos:,42
fecha,promedio,maximo
Last 30 Days,89.81,200
November 2024,83.36,186
September 2024,85.35,206
July 2024,73.78,171
May 2024,68.53,154
March 2024,84.55,189
January 2024,100.95,226
November 2023,107.79,259
September 2023,76.41,156
July 2023,136.62,247
May 2023,72.96,174
March 2023,97.64,207
January 2023,112.56,232
November 2022,105.57,230
September 2022,103.48,208
July 2022,177.23,322
May 2022,157.70,318
March 2022,92.26,188
January 2022,114.85,243
November 2021,77.64,166
September 2021,70.60,154
July 2021,84.51,178
May 2021,110.59,222
March 2021,112.83,249
January 2021,143.69,277
November 2020,118.06,243
September 2020,119.10,233
July 2020,166.22,314
May 2020,164.69,278
March 2020,176.29,321
January 2020,205.84,414
November 2019,104.48,184
September 2019,96.20,169
July 2019,112.88,197
May 2019,115.54,199
March 2019,148.45,257
January 2019,147.72,257
November 2018,116.64,213
September 2018,113.91,207
July 2018,224.01,481
May 2018,280.45,526
March 2018,211.46,416
