Nombre:,World of Warcraft
Cantidad de datos:,49
fecha,promedio
Last 30 Days,"8,109,696"
December 2024,"8,212,350"
November 2024,"9,270,010"
October 2024,"8,298,188"
September 2024,"8,110,828"
August 2024,"7,901,440"
July 2024,"7,875,692"
June 2024,"7,412,416"
May 2024,"7,769,828"
April 2024,"8,187,385"
March 2024,"8,449,314"
February 2024,"9,298,720"
January 2024,"9,410,602"
December 2023,"8,950,544"
November 2023,"8,209,758"
October 2023,"7,701,462"
September 2023,"8,072,811"
August 2023,"8,365,607"
July 2023,"8,510,282"
June 2023,"8,648,661"
May 2023,"9,261,791"
April 2023,"9,501,445"
March 2023,"9,372,933"
February 2023,"9,615,462"
January 2023,"9,480,558"
December 2022,"9,401,457"
November 2022,"9,102,544"
October 2022,"8,650,114"
September 2022,"8,356,501"
August 2022,"8,120,614"
July 2022,"7,661,560"
June 2022,"8,520,337"
May 2022,"8,355,126"
April 2022,"8,120,257"
March 2022,"8,210,560"
February 2022,"8,407,814"
January 2022,"8,545,114"
December 2021,"8,361,227"
November 2021,"8,655,669"
October 2021,"8,525,614"
September 2021,"9,159,763"
August 2021,"9,265,129"
July 2021,"9,515,127"
June 2021,"9,080,127"
May 2021,"8,861,258"
April 2021,"8,515,127"
March 2021,"7,861,260"
February 2021,"7,771,569"
January 2021,"7,510,914"
